PanelType;Cell type;Cell data;Bet ranges;Bet type;Name;Description;Connected cell 1 name;Connected cell 2 name
PreflopSb;StatCell;PreflopData;;;Sb_RaiseIsolate_CC_Raise;SB raise (raise isolate pot as cold caller);Sb_RaiseIsolate_CC_Call;
PreflopSb;StatCell;PreflopData;;;Sb_RaiseIsolate_Raiser_Fold;SB fold (raise isolate pot as raiser);Sb_RaiseIsolate_Raiser_Call;Sb_RaiseIsolate_Raiser_Raise
PreflopSb;StatCell;PreflopData;;;Sb_RaiseIsolate_Raiser_Call;SB call (raise isolate pot as raiser);Sb_RaiseIsolate_Raiser_Fold;Sb_RaiseIsolate_Raiser_Raise
PreflopSb;StatCell;PreflopData;;;Sb_RaiseIsolate_Raiser_Raise;SB raise (raise isolate pot as raiser);Sb_RaiseIsolate_Raiser_Call;
PreflopSb;StatCell;PreflopData;;;Sb_RaiseIsolate_Caller_Fold;SB fold (raise isolate pot as caller);Sb_RaiseIsolate_Caller_Call;Sb_RaiseIsolate_Caller_Raise
PreflopSb;StatCell;PreflopData;;;Sb_RaiseIsolate_Caller_Call;SB call (raise isolate pot as caller);Sb_RaiseIsolate_Caller_Fold;Sb_RaiseIsolate_Caller_Raise
PreflopSb;StatCell;PreflopData;;;Sb_RaiseIsolate_Caller_Raise;SB raise (raise isolate pot as caller);Sb_RaiseIsolate_Caller_Call;
PreflopSb;StatCell;PreflopData;;;Sb_3bet_CC_Fold;SB fold (3 bet pot as cold caller);Sb_3bet_CC_Call;Sb_3bet_CC_Raise
PreflopSb;StatCell;PreflopData;;;Sb_3bet_CC_Call;SB call (3 bet pot as cold caller);Sb_3bet_CC_Fold;Sb_3bet_CC_Raise
PreflopSb;StatCell;PreflopData;;;Sb_3bet_CC_Raise;SB raise (3 bet pot as cold caller);Sb_3bet_CC_Call;
PreflopSb;StatCell;PreflopData;;;Sb_3bet_Raiser_Vs_Bb_Fold;SB fold (3 bet pot as raiser vs BB);Sb_3bet_Raiser_Vs_Bb_Call;Sb_3bet_Raiser_Vs_Bb_Raise
PreflopSb;StatCell;PreflopData;;;Sb_3bet_Raiser_Vs_Bb_Call;SB call (3 bet pot as raiser vs BB);Sb_3bet_Raiser_Vs_Bb_Fold;Sb_3bet_Raiser_Vs_Bb_Raise
PreflopSb;StatCell;PreflopData;;;Sb_3bet_Raiser_Vs_Bb_Raise;SB raise (3 bet pot as raiser vs BB);Sb_3bet_Raiser_Vs_Bb_Call;
PreflopSb;StatCell;PreflopData;;;Sb_4bet_Fold;SB fold (4 bet pot);Sb_4bet_Call;Sb_4bet_Raise
PreflopSb;StatCell;PreflopData;;;Sb_4bet_Call;SB call (4 bet pot);Sb_4bet_Fold;Sb_4bet_Raise
