Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Other players acted;Set type
SixMax;Postflop;Ep;Any;Any;Multiway;FourBetPot;AnyCall;Yes;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;FiveBetPot;AnyRaise;Any;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;FiveBetPot;AnyRaise;Yes;PostflopGeneral
SixMax;Postflop;Mp;Ip;Bb;Hu;LimpPot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Mp;Any;Any;Multiway;LimpPot;Call;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;IsolatePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;IsolatePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Mp;Oop;Co;Hu;RaisePot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Mp;Oop;Btn;Hu;RaisePot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Mp;Ip;Sb;Hu;RaisePot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Mp;Ip;Bb;Hu;RaisePot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Mp;Any;Any;Multiway;RaisePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Mp;Ip;Ep;Hu;RaisePot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Mp;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Mp;Ip;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Mp;Any;Any;Hu;ThreeBetPot;Raise;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;ThreeBetPot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;IsolatePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;IsolatePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;RaiseIsolatePot;CallRaise;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;RaiseIsolatePot;CallRaise;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;SqueezePot;RaiseCall;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;SqueezePot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;FourBetPot;RaiseRaise;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;FourBetPot;RaiseRaise;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;SqueezePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;SqueezePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;FourBetPot;CallRaise;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;FourBetPot;CallRaise;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;RaiseIsolatePot;RaiseCall;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;RaiseIsolatePot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;RaiseIsolatePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;RaiseIsolatePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Mp;Oop;Co;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller
SixMax;Postflop;Mp;Oop;Btn;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller
SixMax;Postflop;Mp;Ip;Sb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuIpCaller
SixMax;Postflop;Mp;Ip;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuIpCaller
SixMax;Postflop;Mp;Any;Any;Multiway;ThreeBetPot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;FourBetPot;AnyCall;Yes;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;FiveBetPot;AnyRaise;Any;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;FiveBetPot;AnyRaise;Yes;PostflopGeneral
SixMax;Postflop;Co;Ip;Bb;Hu;LimpPot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Co;Any;Any;Multiway;LimpPot;Call;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;IsolatePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;IsolatePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Co;Oop;Btn;Hu;RaisePot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Co;Ip;Sb;Hu;RaisePot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Co;Ip;Bb;Hu;RaisePot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Co;Any;Any;Multiway;RaisePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Co;Ip;Ep;Hu;RaisePot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Co;Ip;Mp;Hu;RaisePot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Co;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Co;Ip;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Co;Ip;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Co;Any;Any;Hu;ThreeBetPot;Raise;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;ThreeBetPot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;SqueezePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;SqueezePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;IsolatePot;Call;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;IsolatePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;RaiseIsolatePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;RaiseIsolatePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;IsolatePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;IsolatePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;RaiseIsolatePot;CallRaise;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;RaiseIsolatePot;CallRaise;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;SqueezePot;RaiseCall;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;SqueezePot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FourBetPot;RaiseRaise;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FourBetPot;RaiseRaise;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;SqueezePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;SqueezePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FourBetPot;CallRaise;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FourBetPot;CallRaise;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;RaiseIsolatePot;RaiseCall;Any;PostflopGeneral
