Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Set type
SixMax;Postflop;Bb;Ip;Sb;Hu;FourBetPot;AnyCall;PostflopHuIp
SixMax;Postflop;Bb;Any;Any;Hu;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Bb;Ip;Sb;Hu;FiveBetPot;AnyRaise;PostflopHuIp
SixMax;Postflop;Bb;Any;Any;Hu;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Ep;Ip;Bb;Hu;LimpPot;Call;PostflopHuIp
SixMax;Postflop;Ep;Any;Any;Multiway;LimpPot;Call;PostflopGeneral
SixMax;Postflop;Ep;Oop;Mp;Hu;RaisePot;Raise;PostflopHuOop
SixMax;Postflop;Ep;Oop;Co;Hu;RaisePot;Raise;PostflopHuOop
SixMax;Postflop;Ep;Oop;Btn;Hu;RaisePot;Raise;PostflopHuOop
SixMax;Postflop;Ep;Ip;Sb;Hu;RaisePot;Raise;PostflopHuIp
SixMax;Postflop;Ep;Ip;Bb;Hu;RaisePot;Raise;PostflopHuIp
SixMax;Postflop;Ep;Any;Any;Multiway;RaisePot;Raise;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;SqueezePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;SqueezePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Ep;Oop;Mp;Hu;ThreeBetPot;RaiseCall;PostflopHuOop
SixMax;Postflop;Ep;Oop;Co;Hu;ThreeBetPot;RaiseCall;PostflopHuOop
SixMax;Postflop;Ep;Oop;Btn;Hu;ThreeBetPot;RaiseCall;PostflopHuOop
SixMax;Postflop;Ep;Ip;Sb;Hu;ThreeBetPot;RaiseCall;PostflopHuIp
SixMax;Postflop;Ep;Ip;Bb;Hu;ThreeBetPot;RaiseCall;PostflopHuIp
SixMax;Postflop;Ep;Any;Any;Multiway;ThreeBetPot;RaiseCall;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Mp;Ip;Bb;Hu;LimpPot;Call;PostflopHuIp
SixMax;Postflop;Mp;Any;Any;Multiway;LimpPot;Call;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Mp;Oop;Co;Hu;RaisePot;Raise;PostflopHuOop
SixMax;Postflop;Mp;Oop;Btn;Hu;RaisePot;Raise;PostflopHuOop
SixMax;Postflop;Mp;Ip;Sb;Hu;RaisePot;Raise;PostflopHuIp
SixMax;Postflop;Mp;Ip;Bb;Hu;RaisePot;Raise;PostflopHuIp
SixMax;Postflop;Mp;Any;Any;Multiway;RaisePot;Raise;PostflopGeneral
SixMax;Postflop;Mp;Ip;Ep;Hu;RaisePot;Call;PostflopHuIp
SixMax;Postflop;Mp;Any;Any;Multiway;RaisePot;Call;PostflopGeneral
SixMax;Postflop;Mp;Ip;Ep;Hu;ThreeBetPot;Raise;PostflopHuIp
SixMax;Postflop;Mp;Any;Any;Hu;ThreeBetPot;Raise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;ThreeBetPot;Raise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;SqueezePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;SqueezePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;SqueezePot;CallCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;SqueezePot;CallCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Mp;Oop;Co;Hu;ThreeBetPot;RaiseCall;PostflopHuOop
SixMax;Postflop;Mp;Oop;Btn;Hu;ThreeBetPot;RaiseCall;PostflopHuOop
SixMax;Postflop;Mp;Ip;Sb;Hu;ThreeBetPot;RaiseCall;PostflopHuIp
SixMax;Postflop;Mp;Ip;Bb;Hu;ThreeBetPot;RaiseCall;PostflopHuIp
SixMax;Postflop;Mp;Any;Any;Multiway;ThreeBetPot;RaiseCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Hu;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Mp;Any;Any;Multiway;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Co;Ip;Bb;Hu;LimpPot;Call;PostflopHuIp
SixMax;Postflop;Co;Any;Any;Multiway;LimpPot;Call;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Co;Oop;Btn;Hu;RaisePot;Raise;PostflopHuOop
SixMax;Postflop;Co;Ip;Sb;Hu;RaisePot;Raise;PostflopHuIp
SixMax;Postflop;Co;Ip;Bb;Hu;RaisePot;Raise;PostflopHuIp
SixMax;Postflop;Co;Any;Any;Multiway;RaisePot;Raise;PostflopGeneral
SixMax;Postflop;Co;Ip;Ep;Hu;RaisePot;Call;PostflopHuIp
SixMax;Postflop;Co;Ip;Mp;Hu;RaisePot;Call;PostflopHuIp
SixMax;Postflop;Co;Any;Any;Multiway;RaisePot;Call;PostflopGeneral
SixMax;Postflop;Co;Ip;Ep;Hu;ThreeBetPot;Raise;PostflopHuIp
SixMax;Postflop;Co;Ip;Mp;Hu;ThreeBetPot;Raise;PostflopHuIp
SixMax;Postflop;Co;Any;Any;Hu;ThreeBetPot;Raise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;ThreeBetPot;Raise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;IsolatePot;Call;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;IsolatePot;Call;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;RaiseIsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;RaiseIsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;SqueezePot;RaiseCall;PostflopGeneral
